[rospy.client][INFO] 2017-03-30 15:29:50,283: init_node, name[/acrobot_control_node], pid[9808]
[xmlrpc][INFO] 2017-03-30 15:29:50,284: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-03-30 15:29:50,284: Started XML-RPC server [http://hancheol:37386/]
[rospy.impl.masterslave][INFO] 2017-03-30 15:29:50,284: _ready: http://hancheol:37386/
[rospy.init][INFO] 2017-03-30 15:29:50,284: ROS Slave URI: [http://hancheol:37386/]
[xmlrpc][INFO] 2017-03-30 15:29:50,286: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-03-30 15:29:50,285: Registering with master node http://localhost:11311
[rospy.init][INFO] 2017-03-30 15:29:50,386: registered with master
[rospy.rosout][INFO] 2017-03-30 15:29:50,386: initializing /rosout core topic
[rospy.rosout][INFO] 2017-03-30 15:29:50,390: connected to core topic /rosout
[rospy.simtime][INFO] 2017-03-30 15:29:50,394: initializing /clock core topic
[rospy.simtime][INFO] 2017-03-30 15:29:50,405: connected to core topic /clock
[rosout][INFO] 2017-03-30 15:29:50,424: /acrobot_control_node, u = 5.205541
[rospy.internal][INFO] 2017-03-30 15:29:50,452: topic[/clock] adding connection to [http://hancheol:44453/], count 0
[rosout][INFO] 2017-03-30 15:29:50,511: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,512: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,522: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,534: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,549: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,559: /acrobot_control_node, u = 5.205541
[rospy.internal][INFO] 2017-03-30 15:29:50,567: topic[/rrbot/joint_states] adding connection to [http://hancheol:44453/], count 0
[rosout][INFO] 2017-03-30 15:29:50,577: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,586: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,596: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:29:50,605: /acrobot_control_node, u = -0.041065
[rosout][INFO] 2017-03-30 15:29:50,613: /acrobot_control_node, u = -0.041065
[rosout][INFO] 2017-03-30 15:29:50,622: /acrobot_control_node, u = -0.043935
[rosout][INFO] 2017-03-30 15:29:50,634: /acrobot_control_node, u = -0.043935
[rosout][INFO] 2017-03-30 15:29:50,643: /acrobot_control_node, u = -0.047005
[rospy.internal][INFO] 2017-03-30 15:29:50,645: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2017-03-30 15:29:50,656: /acrobot_control_node, u = -0.050289
[rosout][INFO] 2017-03-30 15:29:50,661: /acrobot_control_node, u = -0.050289
[rosout][INFO] 2017-03-30 15:29:50,672: /acrobot_control_node, u = -0.050289
[rosout][INFO] 2017-03-30 15:29:50,683: /acrobot_control_node, u = -0.053801
[rosout][INFO] 2017-03-30 15:29:50,692: /acrobot_control_node, u = -0.053801
[rosout][INFO] 2017-03-30 15:29:50,702: /acrobot_control_node, u = -0.057559
[rosout][INFO] 2017-03-30 15:29:50,711: /acrobot_control_node, u = -0.057559
[rosout][INFO] 2017-03-30 15:29:50,720: /acrobot_control_node, u = -0.061578
[rosout][INFO] 2017-03-30 15:29:50,730: /acrobot_control_node, u = -0.061578
[rosout][INFO] 2017-03-30 15:29:50,740: /acrobot_control_node, u = -0.065877
[rosout][INFO] 2017-03-30 15:29:50,750: /acrobot_control_node, u = -0.065877
[rosout][INFO] 2017-03-30 15:29:50,761: /acrobot_control_node, u = -0.070474
[rosout][INFO] 2017-03-30 15:29:50,773: /acrobot_control_node, u = -0.075390
[rosout][INFO] 2017-03-30 15:29:50,784: /acrobot_control_node, u = -0.075390
[rosout][INFO] 2017-03-30 15:29:50,792: /acrobot_control_node, u = -0.075390
[rosout][INFO] 2017-03-30 15:29:50,802: /acrobot_control_node, u = -0.080646
[rosout][INFO] 2017-03-30 15:29:50,814: /acrobot_control_node, u = -0.080646
[rosout][INFO] 2017-03-30 15:29:50,824: /acrobot_control_node, u = -0.086267
[rospy.internal][INFO] 2017-03-30 15:29:50,847: topic[/rrbot/joint2_torque_controller/command] adding connection to [/gazebo], count 0
[rosout][INFO] 2017-03-30 15:29:50,852: /acrobot_control_node, u = -0.092275
[rosout][INFO] 2017-03-30 15:29:50,861: /acrobot_control_node, u = -0.092275
[rosout][INFO] 2017-03-30 15:29:50,871: /acrobot_control_node, u = -0.092275
[rosout][INFO] 2017-03-30 15:29:50,881: /acrobot_control_node, u = -0.098400
[rosout][INFO] 2017-03-30 15:29:50,893: /acrobot_control_node, u = -0.098400
[rosout][INFO] 2017-03-30 15:29:50,904: /acrobot_control_node, u = -0.103915
[rosout][INFO] 2017-03-30 15:29:50,915: /acrobot_control_node, u = -0.103915
[rosout][INFO] 2017-03-30 15:29:50,925: /acrobot_control_node, u = -0.108940
[rosout][INFO] 2017-03-30 15:29:50,934: /acrobot_control_node, u = -0.108940
[rosout][INFO] 2017-03-30 15:29:50,946: /acrobot_control_node, u = -0.113602
[rosout][INFO] 2017-03-30 15:29:50,958: /acrobot_control_node, u = -0.113602
[rosout][INFO] 2017-03-30 15:29:50,968: /acrobot_control_node, u = -0.118001
