[rospy.client][INFO] 2017-03-30 15:25:19,144: init_node, name[/acrobot_control_node], pid[8758]
[xmlrpc][INFO] 2017-03-30 15:25:19,145: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-03-30 15:25:19,145: Started XML-RPC server [http://hancheol:38854/]
[rospy.init][INFO] 2017-03-30 15:25:19,145: ROS Slave URI: [http://hancheol:38854/]
[rospy.impl.masterslave][INFO] 2017-03-30 15:25:19,145: _ready: http://hancheol:38854/
[rospy.registration][INFO] 2017-03-30 15:25:19,146: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-03-30 15:25:19,147: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-03-30 15:25:19,246: registered with master
[rospy.rosout][INFO] 2017-03-30 15:25:19,247: initializing /rosout core topic
[rospy.rosout][INFO] 2017-03-30 15:25:19,250: connected to core topic /rosout
[rospy.simtime][INFO] 2017-03-30 15:25:19,251: initializing /clock core topic
[rospy.simtime][INFO] 2017-03-30 15:25:19,255: connected to core topic /clock
[rospy.internal][INFO] 2017-03-30 15:25:19,268: topic[/clock] adding connection to [http://hancheol:46132/], count 0
[rosout][INFO] 2017-03-30 15:25:19,269: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,285: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,286: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,295: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,310: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,320: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,333: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,346: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,359: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,376: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,385: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,398: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,415: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,427: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,444: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,453: /acrobot_control_node, u = 5.205541
[rospy.internal][INFO] 2017-03-30 15:25:19,468: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2017-03-30 15:25:19,470: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,485: /acrobot_control_node, u = 5.205541
[rospy.internal][INFO] 2017-03-30 15:25:19,493: topic[/rrbot/joint_states] adding connection to [http://hancheol:46132/], count 0
[rosout][INFO] 2017-03-30 15:25:19,501: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,515: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,526: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,536: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,548: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,559: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,567: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,576: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 15:25:19,585: /acrobot_control_node, u = -3.478251
[rosout][INFO] 2017-03-30 15:25:19,594: /acrobot_control_node, u = -3.478251
[rosout][INFO] 2017-03-30 15:25:19,603: /acrobot_control_node, u = -3.529882
[rosout][INFO] 2017-03-30 15:25:19,613: /acrobot_control_node, u = -3.529882
[rosout][INFO] 2017-03-30 15:25:19,623: /acrobot_control_node, u = -3.571967
[rosout][INFO] 2017-03-30 15:25:19,633: /acrobot_control_node, u = -3.571967
[rosout][INFO] 2017-03-30 15:25:19,644: /acrobot_control_node, u = -3.604364
[rosout][INFO] 2017-03-30 15:25:19,654: /acrobot_control_node, u = -3.604364
[rosout][INFO] 2017-03-30 15:25:19,664: /acrobot_control_node, u = -3.626965
[rospy.internal][INFO] 2017-03-30 15:25:19,671: topic[/rrbot/joint2_torque_controller/command] adding connection to [/gazebo], count 0
[rosout][INFO] 2017-03-30 15:25:19,676: /acrobot_control_node, u = -3.626965
[rosout][INFO] 2017-03-30 15:25:19,688: /acrobot_control_node, u = -3.640215
[rosout][INFO] 2017-03-30 15:25:19,697: /acrobot_control_node, u = -3.640215
[rosout][INFO] 2017-03-30 15:25:19,709: /acrobot_control_node, u = -3.433645
[rosout][INFO] 2017-03-30 15:25:19,719: /acrobot_control_node, u = -3.433645
[rosout][INFO] 2017-03-30 15:25:19,729: /acrobot_control_node, u = -2.932911
[rosout][INFO] 2017-03-30 15:25:19,742: /acrobot_control_node, u = -2.932911
[rosout][INFO] 2017-03-30 15:25:19,752: /acrobot_control_node, u = -2.316541
[rosout][INFO] 2017-03-30 15:25:19,762: /acrobot_control_node, u = -2.316541
[rosout][INFO] 2017-03-30 15:25:19,772: /acrobot_control_node, u = -1.670776
[rosout][INFO] 2017-03-30 15:25:19,784: /acrobot_control_node, u = -1.670776
[rosout][INFO] 2017-03-30 15:25:19,793: /acrobot_control_node, u = -0.996865
[rosout][INFO] 2017-03-30 15:25:19,806: /acrobot_control_node, u = -0.996865
[rosout][INFO] 2017-03-30 15:25:19,814: /acrobot_control_node, u = -0.292084
[rosout][INFO] 2017-03-30 15:25:19,825: /acrobot_control_node, u = -0.292084
[rosout][INFO] 2017-03-30 15:25:19,835: /acrobot_control_node, u = 0.407073
[rosout][INFO] 2017-03-30 15:25:19,848: /acrobot_control_node, u = 0.407073
[rosout][INFO] 2017-03-30 15:25:19,857: /acrobot_control_node, u = 1.012454
[rosout][INFO] 2017-03-30 15:25:19,867: /acrobot_control_node, u = 1.012454
[rosout][INFO] 2017-03-30 15:25:19,876: /acrobot_control_node, u = 1.425090
[rosout][INFO] 2017-03-30 15:25:19,887: /acrobot_control_node, u = 1.425090
[rosout][INFO] 2017-03-30 15:25:19,896: /acrobot_control_node, u = 1.582270
[rosout][INFO] 2017-03-30 15:25:19,909: /acrobot_control_node, u = 1.582270
[rosout][INFO] 2017-03-30 15:25:19,918: /acrobot_control_node, u = 1.483528
[rosout][INFO] 2017-03-30 15:25:19,928: /acrobot_control_node, u = 1.483528
[rosout][INFO] 2017-03-30 15:25:19,937: /acrobot_control_node, u = 1.190607
[rosout][INFO] 2017-03-30 15:25:19,948: /acrobot_control_node, u = 1.190607
[rosout][INFO] 2017-03-30 15:25:19,960: /acrobot_control_node, u = 0.797694
[rosout][INFO] 2017-03-30 15:25:19,970: /acrobot_control_node, u = 0.797694
[rosout][INFO] 2017-03-30 15:25:19,982: /acrobot_control_node, u = 0.374598
[rosout][INFO] 2017-03-30 15:25:19,991: /acrobot_control_node, u = 0.374598
[rosout][INFO] 2017-03-30 15:25:20,002: /acrobot_control_node, u = -0.037243
[rosout][INFO] 2017-03-30 15:25:20,011: /acrobot_control_node, u = -0.037243
[rosout][INFO] 2017-03-30 15:25:20,023: /acrobot_control_node, u = -0.412752
[rosout][INFO] 2017-03-30 15:25:20,037: /acrobot_control_node, u = -0.412752
[rosout][INFO] 2017-03-30 15:25:20,048: /acrobot_control_node, u = -0.727945
[rosout][INFO] 2017-03-30 15:25:20,059: /acrobot_control_node, u = -0.727945
[rosout][INFO] 2017-03-30 15:25:20,069: /acrobot_control_node, u = -0.956056
[rosout][INFO] 2017-03-30 15:25:20,080: /acrobot_control_node, u = -0.956056
[rosout][INFO] 2017-03-30 15:25:20,090: /acrobot_control_node, u = -1.074784
[rosout][INFO] 2017-03-30 15:25:20,099: /acrobot_control_node, u = -1.074784
[rosout][INFO] 2017-03-30 15:25:20,108: /acrobot_control_node, u = -1.074089
[rosout][INFO] 2017-03-30 15:25:20,118: /acrobot_control_node, u = -1.074089
[rosout][INFO] 2017-03-30 15:25:20,132: /acrobot_control_node, u = -0.962364
[rosout][INFO] 2017-03-30 15:25:20,142: /acrobot_control_node, u = -0.962364
[rosout][INFO] 2017-03-30 15:25:20,151: /acrobot_control_node, u = -0.762739
[rosout][INFO] 2017-03-30 15:25:20,162: /acrobot_control_node, u = -0.762739
[rosout][INFO] 2017-03-30 15:25:20,171: /acrobot_control_node, u = -0.501010
[rosout][INFO] 2017-03-30 15:25:20,182: /acrobot_control_node, u = -0.501010
[rosout][INFO] 2017-03-30 15:25:20,195: /acrobot_control_node, u = -0.210976
[rosout][INFO] 2017-03-30 15:25:20,204: /acrobot_control_node, u = -0.210976
[rosout][INFO] 2017-03-30 15:25:20,215: /acrobot_control_node, u = 0.082128
[rosout][INFO] 2017-03-30 15:25:20,224: /acrobot_control_node, u = 0.082128
[rosout][INFO] 2017-03-30 15:25:20,238: /acrobot_control_node, u = 0.353632
[rosout][INFO] 2017-03-30 15:25:20,248: /acrobot_control_node, u = 0.353632
[rosout][INFO] 2017-03-30 15:25:20,258: /acrobot_control_node, u = 0.580473
[rosout][INFO] 2017-03-30 15:25:20,270: /acrobot_control_node, u = 0.580473
[rosout][INFO] 2017-03-30 15:25:20,280: /acrobot_control_node, u = 0.742959
[rosout][INFO] 2017-03-30 15:25:20,291: /acrobot_control_node, u = 0.742959
[rosout][INFO] 2017-03-30 15:25:20,303: /acrobot_control_node, u = 0.830710
[rosout][INFO] 2017-03-30 15:25:20,312: /acrobot_control_node, u = 0.830710
[rosout][INFO] 2017-03-30 15:25:20,324: /acrobot_control_node, u = 0.844257
[rosout][INFO] 2017-03-30 15:25:20,336: /acrobot_control_node, u = 0.844257
[rosout][INFO] 2017-03-30 15:25:20,347: /acrobot_control_node, u = 0.792138
[rosout][INFO] 2017-03-30 15:25:20,357: /acrobot_control_node, u = 0.792138
[rosout][INFO] 2017-03-30 15:25:20,368: /acrobot_control_node, u = 0.689654
[rosout][INFO] 2017-03-30 15:25:20,379: /acrobot_control_node, u = 0.689654
[rosout][INFO] 2017-03-30 15:25:20,389: /acrobot_control_node, u = 0.555206
[rosout][INFO] 2017-03-30 15:25:20,399: /acrobot_control_node, u = 0.555206
[rosout][INFO] 2017-03-30 15:25:20,411: /acrobot_control_node, u = 0.408306
[rosout][INFO] 2017-03-30 15:25:20,421: /acrobot_control_node, u = 0.408306
[rosout][INFO] 2017-03-30 15:25:20,432: /acrobot_control_node, u = 0.266632
[rosout][INFO] 2017-03-30 15:25:20,443: /acrobot_control_node, u = 0.266632
[rosout][INFO] 2017-03-30 15:25:20,453: /acrobot_control_node, u = 0.144100
[rosout][INFO] 2017-03-30 15:25:20,465: /acrobot_control_node, u = 0.144100
[rosout][INFO] 2017-03-30 15:25:20,474: /acrobot_control_node, u = 0.051801
[rosout][INFO] 2017-03-30 15:25:20,483: /acrobot_control_node, u = 0.051801
[rosout][INFO] 2017-03-30 15:25:20,497: /acrobot_control_node, u = -0.000545
[rosout][INFO] 2017-03-30 15:25:20,508: /acrobot_control_node, u = -0.000545
[rosout][INFO] 2017-03-30 15:25:20,519: /acrobot_control_node, u = -0.010233
[rosout][INFO] 2017-03-30 15:25:20,527: /acrobot_control_node, u = -0.010233
[rosout][INFO] 2017-03-30 15:25:20,539: /acrobot_control_node, u = 0.020150
[rosout][INFO] 2017-03-30 15:25:20,549: /acrobot_control_node, u = 0.020150
[rosout][INFO] 2017-03-30 15:25:20,559: /acrobot_control_node, u = 0.083567
[rosout][INFO] 2017-03-30 15:25:20,570: /acrobot_control_node, u = 0.083567
[rosout][INFO] 2017-03-30 15:25:20,579: /acrobot_control_node, u = 0.169850
[rosout][INFO] 2017-03-30 15:25:20,589: /acrobot_control_node, u = 0.169850
[rosout][INFO] 2017-03-30 15:25:20,599: /acrobot_control_node, u = 0.267181
[rosout][INFO] 2017-03-30 15:25:20,609: /acrobot_control_node, u = 0.267181
[rosout][INFO] 2017-03-30 15:25:20,618: /acrobot_control_node, u = 0.364479
[rosout][INFO] 2017-03-30 15:25:20,629: /acrobot_control_node, u = 0.364479
[rosout][INFO] 2017-03-30 15:25:20,640: /acrobot_control_node, u = 0.451912
[rosout][INFO] 2017-03-30 15:25:20,651: /acrobot_control_node, u = 0.451912
[rosout][INFO] 2017-03-30 15:25:20,661: /acrobot_control_node, u = 0.521532
[rosout][INFO] 2017-03-30 15:25:20,672: /acrobot_control_node, u = 0.521532
[rosout][INFO] 2017-03-30 15:25:20,682: /acrobot_control_node, u = 0.567668
[rosout][INFO] 2017-03-30 15:25:20,694: /acrobot_control_node, u = 0.567668
[rosout][INFO] 2017-03-30 15:25:20,705: /acrobot_control_node, u = 0.586864
[rosout][INFO] 2017-03-30 15:25:20,714: /acrobot_control_node, u = 0.586864
[rosout][INFO] 2017-03-30 15:25:20,723: /acrobot_control_node, u = 0.579333
[rosout][INFO] 2017-03-30 15:25:20,734: /acrobot_control_node, u = 0.579333
[rosout][INFO] 2017-03-30 15:25:20,745: /acrobot_control_node, u = 0.548035
[rosout][INFO] 2017-03-30 15:25:20,756: /acrobot_control_node, u = 0.548035
[rosout][INFO] 2017-03-30 15:25:20,765: /acrobot_control_node, u = 0.497901
[rosout][INFO] 2017-03-30 15:25:20,779: /acrobot_control_node, u = 0.497901
[rosout][INFO] 2017-03-30 15:25:20,788: /acrobot_control_node, u = 0.435167
[rosout][INFO] 2017-03-30 15:25:20,797: /acrobot_control_node, u = 0.435167
[rosout][INFO] 2017-03-30 15:25:20,809: /acrobot_control_node, u = 0.366668
[rosout][INFO] 2017-03-30 15:25:20,818: /acrobot_control_node, u = 0.366668
[rosout][INFO] 2017-03-30 15:25:20,829: /acrobot_control_node, u = 0.298974
[rosout][INFO] 2017-03-30 15:25:20,841: /acrobot_control_node, u = 0.298974
[rosout][INFO] 2017-03-30 15:25:20,853: /acrobot_control_node, u = 0.237639
[rosout][INFO] 2017-03-30 15:25:20,865: /acrobot_control_node, u = 0.237639
[rosout][INFO] 2017-03-30 15:25:20,877: /acrobot_control_node, u = 0.187032
[rosout][INFO] 2017-03-30 15:25:20,887: /acrobot_control_node, u = 0.187032
[rosout][INFO] 2017-03-30 15:25:20,898: /acrobot_control_node, u = 0.149818
[rosout][INFO] 2017-03-30 15:25:20,910: /acrobot_control_node, u = 0.149818
[rosout][INFO] 2017-03-30 15:25:20,918: /acrobot_control_node, u = 0.126824
[rosout][INFO] 2017-03-30 15:25:20,929: /acrobot_control_node, u = 0.126824
[rosout][INFO] 2017-03-30 15:25:20,942: /acrobot_control_node, u = 0.117182
[rosout][INFO] 2017-03-30 15:25:20,952: /acrobot_control_node, u = 0.117182
[rosout][INFO] 2017-03-30 15:25:20,961: /acrobot_control_node, u = 0.118491
[rosout][INFO] 2017-03-30 15:25:20,971: /acrobot_control_node, u = 0.118491
[rosout][INFO] 2017-03-30 15:25:20,981: /acrobot_control_node, u = 0.127289
[rosout][INFO] 2017-03-30 15:25:20,993: /acrobot_control_node, u = 0.127289
[rosout][INFO] 2017-03-30 15:25:21,005: /acrobot_control_node, u = 0.139742
