[rospy.client][INFO] 2017-03-30 16:03:25,774: init_node, name[/acrobot_control_node], pid[14452]
[xmlrpc][INFO] 2017-03-30 16:03:25,774: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-03-30 16:03:25,775: Started XML-RPC server [http://hancheol:38485/]
[rospy.impl.masterslave][INFO] 2017-03-30 16:03:25,776: _ready: http://hancheol:38485/
[rospy.init][INFO] 2017-03-30 16:03:25,777: ROS Slave URI: [http://hancheol:38485/]
[rospy.registration][INFO] 2017-03-30 16:03:25,779: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-03-30 16:03:25,779: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-03-30 16:03:25,877: registered with master
[rospy.rosout][INFO] 2017-03-30 16:03:25,877: initializing /rosout core topic
[rospy.rosout][INFO] 2017-03-30 16:03:25,881: connected to core topic /rosout
[rospy.simtime][INFO] 2017-03-30 16:03:25,885: initializing /clock core topic
[rospy.simtime][INFO] 2017-03-30 16:03:25,888: connected to core topic /clock
[rospy.internal][INFO] 2017-03-30 16:03:25,896: topic[/clock] adding connection to [http://hancheol:35227/], count 0
[rosout][INFO] 2017-03-30 16:03:25,905: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:25,914: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:25,925: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:25,942: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:25,960: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:25,978: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:25,990: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:26,007: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:26,021: /acrobot_control_node, u = 5.205541
[rosout][INFO] 2017-03-30 16:03:26,035: /acrobot_control_node, u = 5.205541
[rospy.internal][INFO] 2017-03-30 16:03:26,044: topic[/rosout] adding connection to [/rosout], count 0
